1,,,,,,,,,347.6624,386.2217,704.3879,343.2178,406.478
2,,,,,,,,,379.5681,399.152,263.8505,297.982,766.9794
1,347.6624,Rouletts,,,,,,,294.3539,568.079,644.4913,1492.676,329.5739
2,379.5681,,,,,,,,313.261,365.6979,644.366,66.12476,549.6082
3,294.3539,,,,,,,,493.9168,484.7266,1492.78,524.313,329.0446
4,313.261,,,,,,,,360.7763,518.8329,1492.822,737.306,356.4666
5,493.9168,,,,,,,,230.9461,654.204,1492.961,1492.774,999.1102
6,360.7763,,,,,,,,604.6356,533.8864,1493.031,1492.084,1492.687
7,230.9461,,,,,,,,246.9696,630.1069,1493.043,234.971,513.5313
8,604.6356,,,,,,,,345.5993,566.7074,1493.038,130.2509,847.0839
9,246.9696,,,,,,,,,,,,
10,345.5993,,,,,,,,,,,,
1,386.2217,Above Median,0,,,,,,,,,,
2,399.152,0,0,,,,,,,,,,
3,568.079,0,0,,,,,,,,,,
4,365.6979,0,0,,,,,,,,,,
5,484.7266,0,0,,,,,,,,,,
6,518.8329,0,0,,,,,,,,,,
7,654.204,0,0,,,,,,,,,,
8,533.8864,0,0,,,,,,,,,,
9,630.1069,0,0,,,,,,,,,,
10,566.7074,0,0,,,,,,,,,,
11,657.6099,0,0,,,,,,,,,,
12,777.0042,0,0,,,,,,,,,,
13,524.78,0,0,,,,,,,,,,
14,890.4548,0,0,,,,,,,,,,
15,979.4778,0,0,,,,,,,,,,
16,1134.443,0,0,,,,,,,,,,
17,511.9075,0,0,,,,,,,,,,
18,692.5659,0,0,,,,,,,,,,
19,634.4304,0,0,,,,,,,,,,
20,604.0188,0,0,,,,,,,,,,
1,522.1334,0,0,,,,,,,,,,
2,698.557,0,0,,,,,,,,,,
3,577.9004,0,0,,,,,,,,,,
4,528.911,0,0,,,,,,,,,,
5,636.0848,0,0,,,,,,,,,,
6,620.463,0,0,,,,,,,,,,
7,524.6895,0,0,,,,,,,,,,
8,529.4021,0,0,,,,,,,,,,
9,898.4886,0,0,,,,,,,,,,
10,326.9382,0,0,,,,,,,,,,
11,541.7357,0,0,,,,,,,,,,
12,465.6905,0,0,,,,,,,,,,
13,459.2549,0,0,,,,,,,,,,
14,524.7943,0,0,,,,,,,,,,
15,406.8348,0,0,,,,,,,,,,
16,524.7855,0,0,,,,,,,,,,
17,381.7028,0,0,,,,,,,,,,
1,247.5906,0,0,,,,,,,,,,
2,348.6129,0,0,,,,,,,,,,
3,356.4127,0,0,,,,,,,,,,
4,299.1394,0,0,,,,,,,,,,
5,241.6932,0,0,,,,,,,,,,
6,356.2784,0,0,,,,,,,,,,
7,329.0402,0,0,,,,,,,,,,
8,385.8657,0,0,,,,,,,,,,
9,319.3464,0,0,,,,,,,,,,
10,329.0337,0,0,,,,,,,,,,
11,262.7134,0,0,,,,,,,,,,
12,234.6022,0,0,,,,,,,,,,
13,243.0176,0,0,,,,,,,,,,
14,344.0215,0,0,,,,,,,,,,
15,356.3064,0,0,,,,,,,,,,
16,264.2042,0,0,,,,,,,,,,
